Area,Numerator,Denominator,Unemployment rate - aged 16+,Conf,Numerator,Denominator,Unemployment rate - aged 16-64,Conf,Numerator,Denominator,Unemployment rate - aged 16-19,Conf,Numerator,Denominator,Unemployment rate - aged 20-24,Conf,Numerator,Denominator,Unemployment rate - aged 25-34,Conf,Numerator,Denominator,Unemployment rate - aged 35-49,Conf,Numerator,Denominator,Unemployment rate males - aged 16+,Conf,Numerator,Denominator,Unemployment rate males - aged 16-64,Conf,Numerator,Denominator,Unemployment rate males - aged 16-19,Conf,Numerator,Denominator,Unemployment rate males - aged 20-24,Conf,Numerator,Denominator,Unemployment rate males - aged 25-34,Conf,Numerator,Denominator,Unemployment rate males - aged 35-49,Conf,Numerator,Denominator,Unemployment rate females - aged 16+,Conf,Numerator,Denominator,Unemployment rate females - aged 16-64,Conf,Numerator,Denominator,Unemployment rate females - aged 16-19,Conf,Numerator,Denominator,Unemployment rate females - aged 20-24,Conf,Numerator,Denominator,Unemployment rate females - aged 25-34,Conf,Numerator,Denominator,Unemployment rate females - aged 35-49,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacu:Barking & Dagenham,4900,100300,4.9,2.3,4900,98500,5,2.3,!,2800,!,!,1200,6700,17.6,*,!,25800,!,!,2100,42400,5.1,*,1300,55600,2.4,*,1300,54800,2.4,*,!,2200,!,!,!,3900,!,!,!,13500,!,!,!,22800,!,!,3600,44600,8.1,4.2,3600,43700,8.3,4.3,!,!,!,!,!,2900,!,!,!,12400,!,!,1900,19500,9.6,*
lacu:Barnet,9900,202200,4.9,2.2,9500,193000,4.9,2.2,1400,3900,35.5,*,2000,15500,13.1,*,2900,46600,6.3,*,1600,67900,2.3,*,5500,108100,5.1,*,5100,101600,5,*,!,1500,!,!,2000,9200,22.2,*,!,26100,!,!,!,40400,!,!,4400,94100,4.7,*,4400,91400,4.8,*,!,2400,!,!,!,6400,!,!,1500,20500,7.1,*,!,27500,!,!
lacu:Bexley,3900,127700,3.1,1.7,3900,123800,3.2,1.7,!,4800,!,!,!,8300,!,!,1100,30200,3.5,*,900,47400,1.9,*,1400,65600,2.1,*,1400,64000,2.2,*,!,3000,!,!,!,3300,!,!,!,16300,!,!,!,24800,!,!,2500,62100,4.1,*,2500,59800,4.2,*,!,1800,!,!,!,5000,!,!,1100,13800,7.6,*,!,22600,!,!
lacu:Brent,8300,169200,4.9,2.2,8300,165400,5,2.2,2100,5100,41.1,*,!,15300,!,!,!,47000,!,!,3700,58700,6.3,*,5900,99000,6,3.2,5900,96500,6.1,3.3,2100,3700,56.8,*,!,7900,!,!,!,31000,!,!,1800,31700,5.7,*,2400,70200,3.4,*,2400,68900,3.5,*,!,1400,!,!,!,7400,!,!,!,16000,!,!,1900,27000,7,*
lacu:Bromley,9100,172600,5.3,2.2,9100,168200,5.4,2.3,!,4600,!,!,!,15200,!,!,4400,40400,10.9,*,2900,62400,4.6,*,4000,91300,4.4,*,4000,88500,4.5,*,!,1900,!,!,!,7700,!,!,!,18700,!,!,1700,32400,5.2,*,5100,81300,6.2,*,5100,79800,6.3,*,!,2700,!,!,!,7500,!,!,!,21700,!,!,1200,30000,3.9,*
lacu:Camden,5400,143600,3.8,2,5400,138000,3.9,2.1,!,2800,!,!,!,12600,!,!,!,44800,!,!,2100,43200,4.9,*,2900,80100,3.7,*,2900,77100,3.8,*,!,1700,!,!,!,6900,!,!,!,24900,!,!,#,26900,4.2,*,2500,63500,3.9,*,2500,60900,4.1,*,!,1100,!,!,!,5700,!,!,!,19900,!,!,1000,16200,6,*
lacu:City of London,!,6400,!,!,!,5700,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,#,!,!,!,3900,!,!,!,3300,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,2500,!,!,!,2500,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!
lacu:Croydon,7000,207800,3.4,1.8,7000,198800,3.5,1.8,1700,8300,20.7,*,!,12900,!,!,!,53300,!,!,2300,75000,3,*,4200,105100,4,*,4200,99400,4.2,*,1300,4400,29.5,*,!,6200,!,!,!,25200,!,!,!,38300,!,!,2900,102700,2.8,*,2900,99300,2.9,*,!,3900,!,!,!,6700,!,!,!,28100,!,!,1300,36700,3.6,*
lacu:Ealing,12400,183600,6.8,3.1,11900,178000,6.7,3.1,1800,4500,40.3,*,!,5300,!,!,2900,47500,6.2,*,3900,71000,5.5,*,4200,100300,4.2,*,3700,97600,3.8,*,!,2700,!,!,!,2800,!,!,!,25900,!,!,!,39300,!,!,8200,83300,9.9,5.1,8200,80400,10.2,5.3,!,1800,!,!,!,2500,!,!,#,21600,9.3,*,2400,31700,7.7,*
